frame,left_elbow_3D,left_elbow_pitch,left_elbow_roll,left_elbow_yaw,left_hip_3D,left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee_3D,left_knee_pitch,left_knee_roll,left_knee_yaw,left_shoulder_3D,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,right_elbow_3D,right_elbow_pitch,right_elbow_roll,right_elbow_yaw,right_hip_3D,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee_3D,right_knee_pitch,right_knee_roll,right_knee_yaw,right_shoulder_3D,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw
1,77.08672150070039,78.19461094407315,20.62550260708573,129.4348021290376,177.2470194613145,177.32719396722572,179.27568106926174,158.45312635486653,158.05281323851352,174.57953180440802,158.5453149283895,173.7580816306946,137.25152394174324,131.43290843378563,135.81922341076827,169.98087098098344,64.5414014850282,22.265458414910505,64.62919721918885,121.04407584210567,170.2442328498101,171.52900246773828,175.13793162804117,68.69583705789564,156.34713084067133,164.05858308872143,161.80324180758407,78.18409007544345,117.98590420862169,108.7320521858907,100.31148964404684,171.78059670688646
2,88.79603622766702,82.65463124533524,56.13977036969765,143.735029818164,177.0285180962213,177.2053553218369,178.96520918511106,150.31953991770473,155.2175870073235,174.73077586667756,155.62193007720708,174.19982439971957,149.50007684645638,144.89588859330377,156.5239635419845,161.093034177663,72.54265242740907,29.38752761149889,70.95929272411773,138.71732544605823,171.5571991803107,172.3007793430276,176.4902749502317,110.7350288682588,154.26064169190616,162.7057298148468,160.24519560386298,59.51788762481334,119.35114854121663,108.81932344726846,104.86831893643571,159.11486496800683
3,81.02941830308761,83.3143948896137,34.46113759497868,124.61067056752697,175.5733654059969,175.61741201066036,179.29545782506133,127.11064096380183,155.19409917168608,173.95704756729052,155.7876137898407,153.4534453408692,139.75207634295032,143.95523309166836,120.23202076546598,161.28887875786296,80.83214114345448,28.74886582766969,80.78729698946572,137.269083088119,172.07043845909038,173.58479442635328,175.3213125488165,121.1526631796722,153.32167665587696,161.04283297327456,160.59447446249442,50.22724475959982,119.75594375027826,109.56270409659895,104.46016542740013,157.63041410120795
4,85.0788996909466,89.20565886574258,20.321321072947434,128.0508801530095,175.46333134349192,175.496041472327,179.3756235344504,122.3721168771811,155.79872716286124,173.6619913883253,156.47484853999694,153.46973567944585,148.56482439274947,152.22302521501018,126.63795452952685,164.94539835822604,81.350088417948,28.278431257212453,81.29528500451228,140.39342668302294,172.5883763257982,173.56006419198874,176.30248290997886,128.33501801816132,153.5320151085975,160.58994100428555,161.40151946994177,50.757116837264824,119.24249444871792,108.88576887246069,105.68152413888147,153.67727314076188
5,93.24421824312547,96.81972206918124,30.25149225135514,140.72819530668022,175.41558852611578,175.4941327813583,179.10939094473082,118.07515471290684,155.62559262057943,173.51180736338566,156.32951388275754,152.20378287714726,159.97723353474169,158.0026999363962,149.92114501085803,179.58167853416325,78.7111404487856,28.44965221495117,78.52478342770186,139.22902923213624,173.0151835469487,174.19706564513695,176.09512206783216,130.82072544630438,153.0173855986778,159.85714074556276,161.419102614254,48.00262353575538,120.76283428840456,110.14076050832603,108.03281858732086,155.26998382326818
6,119.50480843085587,110.42301842435744,99.58762582454365,161.49123813646472,175.4265596468342,175.67569446822623,178.48841120887946,116.99690918984383,154.78401878003743,173.4667325013228,155.46000492794715,153.59752259565477,159.12201901514743,168.36642692763076,178.8321923615373,159.4947094668644,78.53918224475632,29.383710231739336,78.73021442610084,136.70147785686927,172.51740990505732,173.98090792506778,175.53853643116324,128.05695507781073,153.03682201369585,160.20451729336958,161.08306783434975,48.68183350322594,124.10905109173656,113.53160007971591,112.33103935104944,157.22814782557018
7,115.91214520119112,109.02601478456491,92.8802930968308,156.9480780370941,175.63183642821562,175.92351378418033,178.41075589452478,120.56033403836787,154.3082656270503,173.27834426561282,154.99657847091734,155.249155052114,159.6264103190677,166.11050799224415,175.7529662753644,160.66123915866797,76.74274718678774,28.768773225386184,77.02987754931338,135.23718927805632,172.29429168887788,173.86682831892958,175.3194204805134,125.83067285779096,152.96149718848264,160.22428496971153,160.93692227902497,48.9396550186875,124.64885018007315,114.00299920225746,113.12388526409813,157.94227861558568
8,108.9661654631584,109.39291908131656,72.19843625866383,148.09512959080936,175.43910540510652,176.1046756479729,177.61783170176983,115.25558689218694,154.74204999675706,173.07615388036203,155.48190560997276,156.84814754100225,164.10797491879748,165.928678701913,170.38027532672407,167.20185984030525,77.56231751209087,30.190636290702408,77.56719053345022,136.26615555243023,172.9946043267984,173.83227619328378,176.6461044585974,132.40819162541587,153.02848862834873,159.99680644484803,161.27583868323939,49.58647834618631,125.01764362969806,114.97970963045609,113.547140577372,156.94521587099783
9,92.85896179908521,105.27152781582421,11.724360646688522,119.6547052986874,175.22180477731837,176.08288551230504,177.25603632352156,109.65996969479973,155.27986138962055,173.1980244398517,156.01769980043616,156.84421050381368,162.92737866525482,161.27792811938673,151.66747356704823,179.92712217158876,78.06000761103657,29.973251402951792,78.25260188056447,135.3705381057614,173.21068894468817,173.70709136030132,177.39142559046402,135.54579133631412,153.0641985548397,159.96407544357612,161.36373262914103,50.777506897426385,124.26763216262195,114.72208908751114,111.63575691712015,156.46866959707359
10,94.50980027334501,104.12378540969937,9.431749063865723,122.64846114370943,175.297544905007,176.05206599196663,177.43779215984858,107.8480210213594,155.7361856158634,173.2628831335143,156.48267244723252,156.18962035425545,159.01762560317462,161.5873630055322,137.03318680943903,169.46820278932847,78.5695810085894,30.129618591865196,78.78297538939512,135.39000818504545,173.12509053981006,173.5297152156414,177.6030216343656,135.2606028682546,153.2055342417704,159.8927648257984,161.65785027419082,51.67941473458617,124.1861951346027,114.87349557961225,111.34357744121014,156.19423851293573
11,104.01345707406817,115.15319309712044,15.850578512263112,124.16654974280978,175.52996370593667,176.1038734262587,177.80306571165517,103.94739519720098,156.52947476444336,173.19113950585935,157.3291465823301,156.0219758455888,167.77722401026455,174.63368324359288,155.1146250370364,169.0267915458542,76.9276021893407,31.145075830610182,76.6405151629642,135.45133493663053,173.38046972619034,173.50780725944776,178.5682784806461,136.74712298766767,153.5546481959723,159.42030828331724,162.74182651943985,52.25198464749618,125.6363548195201,116.8390844656352,114.03875795489483,156.39258910659484
12,117.84825512327842,120.41124671177901,76.03534767108383,157.37138062818553,175.9500612782017,176.38556353713975,178.16882758739246,108.71956531579305,157.0105533780799,173.56591258975254,157.73154503981485,161.76116640224768,175.8164058382403,179.13098993362894,179.41225947876302,175.8452945536363,74.26442087458966,31.731857540544066,73.420631515338,134.9062681057247,173.45383831151153,173.50242568532616,178.98902410645314,137.20335560347257,153.68708177489145,159.21515690353544,163.20090142221193,52.22135777179879,126.69223935585937,118.43423726113922,116.01627141656738,156.70614840756375
13,115.36939483689576,118.17360760808747,74.14266304291512,155.3652922285029,176.14006153753448,176.56745298133126,178.2312794003581,111.8263460314894,157.0416937012512,173.80389197051014,157.7016419123808,165.90765224344952,176.59755555051098,179.58951900062124,177.14587345284855,176.6221488895598,74.03572177586258,32.155655709277106,72.96701986460823,135.6377560117283,173.47159866120532,173.49300798721336,179.184354638601,137.1955072645179,153.81664272904823,159.06973842273646,163.60327324520603,52.579321653472654,127.18997454175032,119.07048105822793,117.39132976393317,156.42223479663213
14,129.83691711784573,125.60486714144116,115.27509241285176,176.34294509243603,176.3290092622923,176.81044217803864,178.1802195547605,116.13245467011602,157.02569012189159,173.36007296920044,157.77316459659608,169.28080433964308,174.66399319399133,174.61956171118098,169.1978377373206,177.70916156942332,73.38764746170368,32.76684385266945,72.16235874832167,135.31015675431902,173.3095387293075,173.31130053832848,179.35312809747987,135.48242283142943,154.01992491833923,159.15582500668518,163.81700611642884,53.489459442633546,128.9023717886397,121.0526126854746,120.64273604740147,156.7764295459021
15,120.43117375144382,120.50781439287715,93.14678386759752,165.39887326996694,176.30304333971355,176.68122033729549,178.3678811972186,119.47409363174714,157.0888650276429,173.55965309165325,157.7888948679537,170.98709484868223,177.34282724008742,179.07285907116076,177.41574624353288,177.495816016267,75.35333922880879,32.8236952699392,74.48138480444679,135.71388571553285,173.24562600123826,173.25894941083087,179.261142473153,133.7690450696525,153.72495641984267,159.04075688090037,163.4281526123484,53.176182616957774,129.09812026330488,121.2888218463517,121.25623183892989,156.16215619441377
16,118.05479975839292,117.53944754822922,88.31614093389625,165.40070568070698,175.97903214620175,176.6416648625987,177.78511444377946,121.92066704214626,156.3609812891442,173.637064268121,156.99884139136068,171.24036632478393,176.52971569638683,177.89854926779947,177.40451892796878,176.97895784691246,78.4157133112504,32.681749057504845,78.0889310839556,136.72182855536755,173.05582281712105,173.17529896715573,178.60432718738244,129.9684182457147,153.9687066667183,159.1707437560872,163.6919088602054,55.34969381472585,129.25675973593655,121.07836428091109,121.93761847759926,155.61258128654012
17,114.22203368608702,115.04882794048581,81.36220847239574,159.80273183673265,175.8254883944061,176.5614485694816,177.6290311874468,122.48734195203033,156.49358285129003,173.6468760685256,157.1313003294697,171.28660752386347,176.31225142215135,176.78149568985592,175.2998543741603,177.50536356877126,79.21667969093625,32.62625133893115,79.11697584973545,136.6352646593387,172.9177847954063,173.09249535179646,178.34831441454506,127.62261598777862,154.05121474906724,159.33230444512608,163.6143860412688,56.39458265533199,129.33880847692492,121.00216771631328,121.88382715668058,155.6305294127009
18,98.94110102268532,107.900630343592,17.359117946133736,120.66078962011368,175.58169048494236,176.29165915814312,177.5931935021809,120.82975770228222,156.60512572841122,174.1297999813748,157.151590323872,171.62544396985155,165.92738936997412,172.8295509621998,149.50971811547078,167.8638368129187,80.32773867489925,32.595681849200446,80.44311090042883,136.25172657323162,173.065621991566,173.26107504228028,178.2851706498654,127.83336459287209,154.15460175550578,159.36199694122894,163.75924627869276,57.14967291431554,128.77477037748787,120.33889880122861,120.0962281839939,155.94550499668995
19,95.73992917519088,101.16184009253348,18.036659997565252,119.89575146750575,175.1331356855032,175.91396424060903,177.3497634047787,117.46191654143134,156.81015151261764,174.3778551505328,157.32259792182498,169.9283087631625,157.11456434776233,168.48543563215264,122.62077594341831,160.0903508302641,82.16994548208773,32.711595644036095,82.52723487359285,136.57294795816375,173.15055259588075,173.4035226506176,178.08743513543422,128.0868706549152,154.26938752597783,159.48220121412564,163.81525490860545,57.78102937028541,128.10929740379902,119.48117148378213,118.42592946449278,155.85513820072535
20,96.65936673085619,101.953277697603,9.386932246578873,123.87617316954886,174.65423559855412,175.51783571384635,177.08007242765777,111.20110800444729,156.8782994079876,174.80261163504747,157.32247263497138,169.1094203138056,158.46848580680506,169.25876041856432,127.19051171670753,161.2419809763142,81.91748864787056,32.37819792175242,82.49451674558944,135.60725111440271,173.4670696437854,173.76594384049116,177.98649027715817,131.09738544752588,154.47235119914623,159.3795373846744,164.35076374051278,58.07037871442502,128.1111324234982,119.42295316708126,117.90907640770513,156.22462704192426
21,127.96768033384636,120.37968433877381,112.22739961243265,172.72892702881668,174.6616546177621,175.50464718101352,177.1139414024251,112.43607779110226,156.59084371673603,174.88728364140192,157.01006127238904,169.9161476604,175.1718865118321,178.59816494898058,175.73305616323614,175.37686881676944,79.94220664041751,31.277125127593912,80.70548882382786,133.83159118922913,173.30332477512,173.9697578959585,177.05656168901197,128.98274945119934,154.29200296856294,159.49681807235262,163.90186636970827,57.80838064352305,128.82415625388677,119.8964340331597,119.04703546618134,157.37555479648375
22,155.80963258956268,152.5780601212417,170.3603574862559,158.3208191807768,174.7877542546843,175.557883013629,177.26644257656068,115.86354975207801,156.39236252659592,175.22848873579105,156.74423567976146,172.853154316126,162.67613459536358,163.362539775961,157.27840212305156,168.95231105384556,79.22388832568949,31.248671989486926,80.02288606244507,133.21882705349412,173.25480337105722,174.2249134651863,176.49709140288059,127.42079225850952,154.18139348600366,159.5117911916176,163.6996246898123,55.161422756553534,131.6121517311257,123.04580129169261,124.81857190694188,157.93076679876464
23,162.37424828371076,157.21784548990811,162.21678977885105,172.06365794082257,174.71737159220012,175.5516177208603,177.1437444672831,116.41984546055059,155.9346332294863,175.19682709913027,156.2789881482359,172.95482632555118,162.42734318396245,162.58188907302983,156.58924238447707,169.26308918703114,78.75589070683148,31.12684215883333,79.43364165121245,133.65929780328062,173.43048058156344,174.59584556249857,176.25072477704694,128.0540569137737,154.0786662275902,159.6607693107426,163.33906009642496,54.4124671861602,131.4770456237007,122.52204850185032,124.64894122312633,158.24055905650627
24,161.7653183616721,155.4964830210373,163.33222018717444,169.99529668057568,174.3770655966449,175.52919761395717,176.5819389231385,118.95747978379364,155.72666317133505,175.1912708608889,156.0601369194059,173.23735117088668,161.98749399101695,163.1233004247341,158.50321637463708,167.66385397725486,78.13913611464089,30.648386298517526,78.89456537448491,133.60291122004529,173.00296799410802,174.93619449594425,175.16231630685317,125.33462553727291,154.09422267096176,160.2190224421142,162.71298948484073,54.44714116524717,131.38676626796547,121.83570321337432,124.42244412367604,158.67128898517097
25,159.3770761504194,147.08687341830822,160.20054182222,169.78614930177108,173.71213792138622,175.23198320479307,175.8893289733244,119.5075490403891,155.47498371890538,174.73050380957912,155.8744662447966,170.51808338144073,160.40286568550857,169.04219188807457,167.5856911769104,162.064572116954,77.76967016565582,28.026449143986948,79.58659231573085,131.37459881236643,172.06147358137738,175.17564683653805,173.68805587536644,118.54899027020397,154.38361766620613,161.11006917063486,162.19107982431572,53.75439548578827,132.61159850282206,121.89804583893321,126.63242709098488,159.6316693343818
