frame,left_knee_3D,left_knee_front,left_knee_side,left_knee_top,right_knee_3D,right_knee_front,right_knee_side,right_knee_top,left_elbow_3D,left_elbow_front,left_elbow_side,left_elbow_top,right_elbow_3D,right_elbow_front,right_elbow_side,right_elbow_top,left_shoulder_3D,left_shoulder_front,left_shoulder_side,left_shoulder_top,right_shoulder_3D,right_shoulder_front,right_shoulder_side,right_shoulder_top,left_hip_3D,left_hip_front,left_hip_side,left_hip_top,right_hip_3D,right_hip_front,right_hip_side,right_hip_top,label
0,167.5003946491856,168.00893819420256,113.26651100879606,176.43632187246016,169.64580924927108,172.7088490568151,138.0937747089487,172.48951408983623,162.6067810690798,163.10065647714742,84.67318762373561,175.56496204166567,169.04432850309675,170.8214716903269,95.83134315358473,173.9629823965634,98.54389079077833,165.86821374341685,157.81621393819904,98.55972975999684,98.48011359278517,12.554157118311974,167.24269249701416,98.48487905090327,179.81989036088726,179.9788846572179,179.27793483479593,179.8211111032553,172.0605813393868,172.3924769181077,86.57877801983942,177.69560482492537,correct
1,167.29456408163156,167.81703478429932,107.04074643588255,176.36081752963088,173.138652664174,176.41352723261474,144.60132712884825,174.0653048480949,163.07820829761323,163.32568805077076,86.02039501545057,176.6708970446212,167.89274564587294,169.40885401295802,88.80325901951159,174.05509950960683,98.06051777432116,8.89822185969056,156.42865138504663,98.0757447103925,98.33485933673083,171.89727150587865,161.88631908180383,98.34431236781583,179.42223739083957,179.60902208978234,176.9331628436039,179.57235858445694,171.4024939963267,171.7838468811873,88.53138850914956,177.4404692619234,correct
2,167.1200112824891,167.6634779889501,102.69418269993625,176.26574514961882,175.17288440565534,179.083317147292,149.08121652664397,175.20693860282287,163.31078112405714,163.40237160753006,86.1378310313547,177.56204960967648,166.7750168890217,168.12138929929313,81.88942414761974,174.0826211244574,97.65551950894458,86.29594080482006,154.32994468326038,97.67135438838012,98.20427608646766,93.60686357827711,156.42667221596926,98.22033705630633,179.09820262913,179.26984360258055,173.2162426294366,179.4657092018594,170.96242501859257,171.39133546522615,93.11801595434363,177.22506585187526,correct
3,167.11219397938143,167.6889899764212,100.96212742039438,176.15629110442165,175.97142197450458,179.13770391987003,152.91178631659037,176.02424898447478,163.45940218829537,163.47173230352846,85.55414545041101,178.1617651785983,166.02349079722228,167.20238838874218,76.6315361933508,174.25641570668654,97.34582979414522,172.52833544421304,152.21243224481756,97.36265286396458,97.99183497643064,7.909941914859611,151.70998956739143,98.01445197630535,178.9437293055283,179.08422902765972,171.002440203258,179.46644970094766,170.60820626235008,171.09344803805507,97.13725756151216,176.99869203395374,correct
4,167.19426551555816,167.82667212569802,101.1124156938717,175.99477048764112,176.00229653915437,177.7750409568666,156.36986926116094,176.64465249681643,163.68593576133074,163.6661521490144,84.90294915221145,178.49278323627306,165.65368673038546,166.65362426725062,73.18026234461877,174.59479678652937,97.11964699638699,6.143835419011861,150.55778934627776,97.13722428304663,97.71332444962356,174.6969618880222,147.84875391028388,97.74108787479182,178.92808739866084,179.0404567352331,170.4806305319428,179.5138979414692,170.12568255058284,170.66066793400782,98.91940059338536,176.7729545143297,correct
5,167.33354191977844,168.0037659050443,102.2050482718942,175.9041886854384,175.71914331467235,176.93586566193758,158.4081585338122,176.97911001576355,164.00600262823113,163.97803373840713,84.40720395536317,178.6441035535089,165.64938806862796,166.4747705172697,72.15554060924192,175.04546502841333,96.92342959327804,85.91081089081473,149.57623406607846,96.94092770253035,97.45892574595037,95.19473510759505,145.33388173811898,97.48933946829816,178.96471467323792,179.07304768614756,170.9867605469826,179.53080997183284,169.68039865780452,170.23663753370587,99.09216007060228,176.63612605697864,correct
6,167.42529395949958,168.1257547464206,103.65890017389661,175.8316879375085,175.49367585179863,176.51600994362556,159.26422843875017,177.11122691349624,164.35920155956555,164.3331199069683,84.00488352780935,178.70719400659144,165.70538048463226,166.40880744336974,72.12274655527888,175.3971310571163,96.72721734241046,85.95379028332347,149.11194073638404,96.74387242218616,97.32261894594328,95.44510479006108,143.55654289858433,97.35544883635863,179.05418590037183,179.1653616645511,172.20620856470103,179.54788955843486,169.39338992046987,169.94840507665756,99.02129557266485,176.59194392422117,correct
7,167.40384553670893,168.11826677600098,104.72672958778453,175.78781430298864,175.43971744557345,176.55496780029,158.6580576963555,176.9793251629202,164.66155994020136,164.64309990988662,84.02272186456669,178.6926613485697,165.8926914209828,166.57139444938647,73.20167995572668,175.4935891954887,96.59616997232756,3.9283675620560463,149.35516905931604,96.61156691864988,97.37864565115758,174.3703623789762,142.8553147873764,97.41400997929287,179.17905637875793,179.2731364738731,173.34203521696244,179.6118117642179,169.32813343189167,169.85818082978452,99.38286745212845,176.65643603711098,correct
8,167.23559897954635,167.95922024774646,105.33830205845966,175.73151251786058,175.60214962177938,177.1312627658631,157.14170457739993,176.62897553586308,164.7071166996982,164.70761111885503,83.77306295246643,178.5304573939421,166.12792634197484,166.91426103853524,75.00154106049533,175.21404071156178,96.56830176831534,86.18747322646104,149.99477018401265,96.5827422364593,97.67763712789936,95.78148673120215,143.23117522410365,97.7164188078791,179.36295088599198,179.39515797907404,174.19378022438198,179.79187627985615,169.47373418061576,169.97990790186628,99.95107861537315,176.7532573315484,correct
9,166.97754147589947,167.69507066160665,105.59198555442208,175.70285969820583,175.69503347994788,178.33682488699142,154.4828071119001,175.98147666448148,164.42808857229,164.46779149441483,83.20151344789704,178.16473809042236,166.5353215612975,167.564148230064,77.43640774127014,174.6713169879469,96.71679964257663,86.23316706759208,150.84572559947836,96.73120829877719,98.09382426952604,95.80918590963127,144.55943087976874,98.13504687045709,179.4721592791906,179.4728456918748,174.33394088662268,179.9471194625354,169.84624156991043,170.3218947947755,100.58836035628391,176.9067281399357,correct
