frame,left_knee_3D,left_knee_front,left_knee_side,left_knee_top,right_knee_3D,right_knee_front,right_knee_side,right_knee_top,left_elbow_3D,left_elbow_front,left_elbow_side,left_elbow_top,right_elbow_3D,right_elbow_front,right_elbow_side,right_elbow_top,left_shoulder_3D,left_shoulder_front,left_shoulder_side,left_shoulder_top,right_shoulder_3D,right_shoulder_front,right_shoulder_side,right_shoulder_top,left_hip_3D,left_hip_front,left_hip_side,left_hip_top,right_hip_3D,right_hip_front,right_hip_side,right_hip_top,label
0,119.12367535955916,117.46265661729491,87.5949145978682,159.42831948867368,120.54164551043509,120.87619763001832,99.21620353774274,171.76599942060648,159.86102211989626,159.11585814564572,178.81364919490747,124.23796956437008,161.10522379832545,161.25340860910836,176.61260170564915,86.91674350034936,105.13885888694466,178.48999517212422,105.14387636231147,174.43692016174262,99.6837917967627,5.147557271987108,99.7222583533866,152.2652767308286,123.47161522168912,124.14621423485745,145.15226134085196,152.3399140875726,117.96100625951254,118.47455565287524,85.49599159607173,169.34129219420294,correct
1,124.3196386678277,122.64551830056388,102.70275761681516,162.20136622864942,126.85497207485653,127.38643710208522,123.47340450476162,170.2146878260517,159.1924252127356,158.4060571840078,179.03445365393625,122.46999363722155,158.87129445221242,159.02132669079216,176.28951888882762,78.56036833745186,105.39073687649581,1.913281003720667,105.39891456043952,173.0845577178905,99.72191144581758,173.34714377612343,99.7865492693278,145.9329030434324,125.51435855839043,126.08596110885082,135.3167414011118,154.68661199446214,121.43677980793896,121.80885903647608,86.9525937171404,170.86384130321824,correct
2,129.41432528787615,127.81173488160823,115.30950426929354,165.1921080669015,132.91933905532036,133.66542798559556,139.02158351993845,169.08174903826287,158.565321680874,157.74460783962485,179.2284686090704,120.53615295935265,157.09265055999117,157.26312453049823,175.90292322826036,73.12040592867477,105.58766486508885,177.57042970323988,105.60100674635171,171.3597258605378,99.8933236385867,7.858675675413262,99.98524021703291,141.90470516825619,127.77393774369708,128.27127888297377,129.02322842547426,157.26537236197046,124.96233111368477,125.1855416611293,88.44810781219695,172.17125539803374,correct
3,134.28425927710146,132.81810265334698,124.99118458572434,168.21759779176264,138.5638621476814,139.5887431239018,147.0372399977734,168.10244845377036,158.0031264517731,157.1542513727054,179.36884357759251,118.5112029052369,155.89036283670058,156.08619437804364,175.5594701208059,69.92411080550542,105.71715231729362,83.3741162849869,105.7383372876659,169.29478874358927,100.08818224101088,102.31117107272524,100.20408727690956,139.51702120587905,130.23933734872375,130.715168116634,126.05446664098392,159.84146429623857,128.4999695775977,128.56111148027404,89.85882655343876,173.4446088947231,correct
4,138.8481979068734,137.5424600705292,131.77540398215808,171.15797465786105,143.69111313802435,145.15761395045504,149.9796819472846,166.99545058933842,157.55301594747834,156.68295156613163,179.4348197096296,116.5824176893178,155.21260499059804,155.44008217911502,175.2547766686608,68.51113577213142,105.76849139466627,90.1403646581546,105.80006824706291,167.07107572657222,100.30522577617126,84.31485056080245,100.4383646748463,138.4867110324936,132.91917630509712,133.43661390331306,125.98931141584089,162.17944644083985,131.97714589330974,131.8687552706373,91.15531650731937,174.750348927526,correct
5,142.91601238606683,141.71670121048152,135.4713397101459,174.0035522182314,148.12137968055723,150.2166070364737,150.89805363138223,165.8239373914547,157.2713060178171,156.38836656982545,179.56243752071924,115.18356225486116,154.77941032288913,155.0112667614308,175.14274544034225,67.12211427712637,105.8424154060925,81.29179479006254,105.88372301345214,165.39323474462148,100.36312363451658,104.24950615790563,100.51263889424288,137.10447187741644,135.69213672642985,136.24802648480008,127.72068447387932,164.115217346066,135.3273687411342,135.0363846605078,93.05818772137685,176.09375888697463,correct
6,146.30775714946307,145.15181115057908,136.25868685723023,176.68180415824767,151.8111087736136,154.69592823137543,151.47657909592698,164.72847437785651,157.15528044789667,156.25246719929564,179.8750101823655,114.88343978228876,154.22587626679314,154.4213547651553,175.29277152290084,63.70965233334434,106.17942078625083,175.48443432755806,106.22715111356071,164.8181455785952,100.04048359133965,10.602008510216091,100.21122376416801,133.90034166157758,138.38044153578815,138.9488407956685,129.05634189384094,165.48206270559865,138.4577073960923,137.96598771435072,96.06831478767154,177.42285748853826,correct
7,148.89862052046254,147.78098465866842,135.49191559798325,179.11859110941458,154.87389657637033,158.5909929814783,152.43719537660087,163.9849292013452,157.3179539141683,156.40577382842918,179.66524270340057,115.81875063464999,153.52152238844656,153.65093804700757,175.69245027700026,58.45878924597192,106.70057708501189,89.98159142412652,106.74822376604065,165.50438264866415,99.36088573567783,82.75542921431013,99.55627744401717,129.08026588821275,140.7932710615938,141.34715121811914,129.61618637884507,166.32027168624433,141.31608630648117,140.63066504407226,100.0937881467738,178.55162316101877,correct
8,150.73474800318974,149.70222828995574,134.53858478263132,178.78415263082198,157.41965678963106,161.81693571047828,154.00100391464218,163.80495907337416,157.64440148621372,156.74250922849888,179.09418030620552,117.41494004515967,152.60064425095064,152.66164669945886,176.23325967501847,51.95622403659418,107.33692740819717,175.8369950831453,107.38003211144071,166.90880739792468,98.44907254760756,13.045424249456213,98.66954994479701,123.34781709128337,142.80351682435696,143.31767754024273,129.6194611532171,166.8183972362951,143.87673377801212,143.03131293786907,104.56613432390292,179.35192065391342,correct
9,152.03335487939066,151.1096990831955,134.23302925763988,177.19505239281762,159.60097600133818,164.31253738595066,156.35800419431672,164.28773328194097,158.11076471212974,157.2514858486979,178.5474033318677,119.28963837601647,151.64102709869536,151.64233335821595,176.8661306476439,45.814022869039675,107.88009594843095,176.33213813978196,107.9144523116367,168.78384659398364,97.49387679449902,14.40361705602432,97.73417453400367,117.87064750436575,144.39973824667953,144.86951720743738,130.03934681905469,167.03734713717904,146.08657597640737,145.1334007226087,108.7695458880298,179.75309512142906,correct
10,153.28150369291276,152.45888627209607,135.16248101869567,176.3088109172106,161.53329873336307,166.176677640031,159.04411539732834,165.29075942090196,158.60622257246942,157.81006495048263,178.13535506526563,120.90324155683643,150.87410179015285,150.84050204631097,177.35471565043196,41.743733080711515,108.19220576675369,95.81667660267595,108.21763831399147,170.55801596228184,96.81347976827777,71.8143780288352,97.0681436851481,114.08678035022875,145.6433378157825,146.11187684892,130.9471646754499,167.06371353461265,147.9313773695693,146.94487581108046,111.96897270136796,179.77146622463212,correct
11,154.5279349246447,153.8230839641634,136.64989372239322,175.82343177315482,163.27887094236672,167.5575662922415,161.6808244696719,166.62463821149774,159.01371113524468,158.2950790505355,177.882068908308,121.67422742817928,150.4877313430606,150.4318836883028,177.60594766190428,40.92342932667395,108.12935744981897,93.5757069598952,108.14791475815106,171.8710769203597,96.6225677582533,72.87971702133476,96.89468474182569,112.5641906625274,146.66031534264098,147.17046836388897,132.2520707102577,167.07282925440109,149.40958181096548,148.4749487873441,113.82319957196356,179.3740956535208,correct
12,155.64287454040817,155.06802065801008,138.1843795800876,175.55891102621422,164.77631950000455,168.41598512605566,164.43821055208588,168.17331765171303,159.2491696954359,158.62133950279846,177.7187059530134,121.38652797466848,150.48196896975995,150.4070280384088,177.58574170331943,43.42078371714475,107.69718277129941,82.32091618748892,107.71083194802758,172.75981243063362,96.97636035532625,111.94783217922436,97.27627758222488,113.19608107631232,147.432412351442,147.9902394874272,133.44296978746368,167.14746223272468,150.35661403822834,149.54831804427997,114.10398170827352,178.5747596041139,correct
13,156.51725135994286,156.0981583489444,139.40953665547295,175.3671861891145,166.00352937278495,168.89196633932053,167.07906756292505,169.7750959372341,159.33495052792603,158.79705715408568,177.62356944428885,120.26815895844071,150.90693880776558,150.81836603250872,177.29489981372325,48.60047374993865,107.02578238597239,91.49271474252342,107.03639468671923,173.22893770868134,97.79242391398246,102.96365886798714,98.1243831932989,115.67365801697767,147.9695447459622,148.5532348224071,134.29202560795432,167.3818166172183,150.78555634704676,150.1801470441714,112.8993709320158,177.45889315129602,correct
14,156.8967847398037,156.70067572216627,139.62653551985892,174.99675166252706,166.88630105238371,169.06041911439024,169.14072535739544,171.2957737795096,159.3266081419004,158.85512134125054,177.67504799470603,118.60810400967468,151.83318582815548,151.7641623516253,176.58593215816327,56.21646801550004,106.1879644603455,87.1241614102306,106.19713452259504,173.21047576399363,99.11503501758534,106.75209952140406,99.46920124042332,120.42129287881816,148.26920552418153,148.86861336115876,134.84734047387437,167.80822398122714,150.65248532274865,150.34630308869046,109.97419059286672,176.0783208544178,correct
15,156.75443169671829,156.84533504222466,138.7644952650073,174.37422950558212,167.4425548425687,169.04212038203548,170.48936129699274,172.62829930684939,159.31934895855727,158.88512721551348,177.8447029982809,117.05859772461338,153.15137023441687,153.16564082495975,175.6283138972661,65.0234972143779,105.38379372493937,96.40858096982932,105.39221041623694,172.98059785611824,100.67033043357597,70.94941732706657,101.01699461329105,126.80775741778184,148.36687293283694,148.9894513777538,135.75616396973973,168.3164700134005,150.12609573530426,150.17718670088354,105.96414035100759,174.65518597512957,correct
16,156.20610017913043,156.6132567385881,137.00753215647916,173.58326661825794,167.72447750198157,168.95225239143434,170.8904094717734,173.63677396283606,159.35158866763913,158.91522063632985,178.17200871200214,116.11392206172941,154.64668143180174,154.8298771317784,174.6261497973424,73.65909449307814,104.74250292897041,1.9476382599481048,104.75065306271058,172.64058532186164,102.14444271280209,167.12251174758453,102.4481198770592,133.9963565169748,148.32420434238935,149.00668379213812,137.85102852633108,168.74816589541237,149.43688726881894,149.83442014493727,101.53633065544737,173.42269406146124,correct
17,155.56673098306544,156.24521061891676,135.08794530292292,172.8644725868316,167.86452752668941,168.8921481298932,170.6158825724671,174.29076725804524,159.43572953307546,158.97461942366078,178.58879828545298,115.94312854485804,156.06287641323442,156.4709703185982,173.79426132309078,81.07843996730759,104.30149256575268,1.9361801055920995,104.30932682555911,172.45033401968743,103.28844571868284,168.91714456817945,103.53177710739894,140.85730043513155,148.25295949357357,149.03553664498008,142.31790083015053,168.95904917288675,148.8518918772574,149.50945027343667,97.72991387696861,172.56820682206265,correct
18,155.03010398574466,155.90900906568436,133.4228349998152,172.30953315699236,167.94861234525828,168.9014390607275,169.97496643296807,174.61393438461727,159.5059808986323,159.00770123166754,179.0283540863779,116.25470301682299,157.15909401692608,157.78270767415944,173.23374155957887,86.33100659323111,104.0748551680383,178.03835342508808,104.0827800501535,172.2254250154682,103.9787383625442,9.570040227098684,104.16813179840643,146.26259711836934,148.21977476265585,149.11855097788063,149.0011643381166,168.97219731016335,148.5243125404679,149.33317808326595,95.18526520332004,172.11301287822585,correct
19,154.58108140003526,155.59605778131512,132.06239775935273,171.8842561736652,167.9955206501553,168.93306578297336,169.43699933165732,174.73020994006922,159.56617233058574,159.03887122973526,179.39152966713186,116.64901553789242,157.78419191741907,158.53934469753293,172.96032245341834,89.30917784502837,103.9501019047284,1.9945704417621102,103.95822840980775,172.02397731494347,104.31211171468301,171.3418047894303,104.47020334388161,149.456463286949,148.19080494756835,149.18398488855755,155.28963239917687,168.87748698730934,148.46922981034194,149.33945805657513,94.0991754390866,171.96468281280568,correct
20,154.33330662804892,155.4111284031685,131.38655645757729,171.6627489004767,168.03539184539804,168.98021420539308,169.25018971062573,174.73749921170017,159.56836585355103,159.0243539575843,179.61013345258164,116.68818558045629,157.85223016112624,158.61635281388448,172.94546977961625,89.9332762292231,103.88546727754834,2.0857034565967556,103.89431586104025,171.62491317188693,104.3864040372341,171.51572986075692,104.53887386714395,150.09297283731362,148.12707426940634,149.16160751441993,157.80067503133486,168.7939478068039,148.66567325488126,149.52759639484864,94.37452450336355,172.05843658318136,correct
21,154.06659453951596,155.21026998558602,130.82929966842752,171.42211116518308,168.0757381119032,169.04084479250042,169.1928371957164,174.69213647846357,159.47949250119862,158.93008353562576,179.73009320362965,116.03368845361894,157.60429794795039,158.31360696937048,173.03147269326246,89.59900620261186,103.7786027243255,91.38460398002908,103.78910073429256,170.78613031178628,104.41968032429943,82.16154042505445,104.58166786811037,149.4364637209319,147.98472171964755,149.01431499958838,157.76915902165854,168.7963077246363,149.0242399087026,149.84717527220457,95.25221457031073,172.2698144537635,correct
