frame,left_knee_3D,left_knee_top,left_knee_side,left_knee_front,right_knee_3D,right_knee_top,right_knee_side,right_knee_front,left_elbow_3D,left_elbow_top,left_elbow_side,left_elbow_front,right_elbow_3D,right_elbow_top,right_elbow_side,right_elbow_front,left_shoulder_3D,left_shoulder_top,left_shoulder_side,left_shoulder_front,right_shoulder_3D,right_shoulder_top,right_shoulder_side,right_shoulder_front,left_hip_3D,left_hip_top,left_hip_side,left_hip_front,right_hip_3D,right_hip_top,right_hip_side,right_hip_front,label
0,167.4556084490579,172.01491657901155,47.02102678377236,170.24076922365515,172.221420191955,174.27135461108858,137.516055110697,174.6805928987907,161.89108909620828,173.2555313494923,84.34353362194648,163.1144191925179,156.7943717804457,167.36453723618072,31.58015320571174,160.32469825725224,99.55769936507697,99.56998342670363,163.1099808194191,4.194485198614035,100.18939041358227,100.35266592656545,135.15240202532678,176.82610034583968,175.86950549011334,176.04520528026097,161.34253495711792,178.80312860425582,174.65651986855457,176.15519113073722,74.25549002257644,176.28436207846133,correct
1,165.42278115489012,172.25621604973784,1.82742682494703,167.5700386037687,170.59610650478376,174.49350852096913,124.32563461046018,172.32948883195556,160.04391871330577,171.96006513621927,82.58559645426877,161.6540379233057,153.6451610065415,166.31582098263456,33.824501359165694,157.23233762028983,99.74008375881925,99.74801612497946,166.65300410625665,5.910396419815358,100.52575449310477,100.6852100504417,136.86749512489806,166.3991143384126,174.90687221695484,175.98306386345615,113.24979842762546,176.8637273829083,175.45879996014492,175.8258056002866,89.70198725625266,178.20584144920355,correct
2,162.82501653565882,173.07023147640507,20.28328047735388,164.21288965322293,168.20812307929376,175.1008962010167,36.9483589730083,169.23436427351263,157.4786362265328,170.11736839451407,80.96500694933692,159.65818292921173,149.46224223415823,165.05512100156736,36.19469530791663,153.06111952529676,99.97756296610709,99.98164730959664,170.6722437795781,88.3441477808684,100.79319488588824,100.94277150687401,138.82456089033124,99.59867123859829,172.83953313045816,175.63704589551435,93.453290259058,174.31538162329616,175.27617157407275,175.34283867589662,103.67991898980385,179.19776833905323,correct
3,159.60796219051505,174.44393753341274,26.389592732736975,160.31778332209836,165.02968494440046,176.10158022076547,32.539731075410074,165.51437734575435,154.20198958804,167.72152332910042,79.78883933226597,157.12662041713259,145.3088461820771,164.03329013275226,39.81840715334718,148.80287242709866,100.25344786500276,100.25480580685532,174.80428777022468,11.562143238203447,100.79864697149208,100.91928576287431,141.81532331862454,160.75274384243457,169.86055822472193,174.9792791083012,83.22589776044455,171.17947298698357,173.4827324533075,174.75214508365949,100.00103044762709,176.12636256774047,correct
4,155.8605046009781,176.37267255383142,27.45613093391038,156.08504136522993,161.16565943389597,177.33929025152017,26.66794842911092,161.33072112959476,149.94237423614175,164.55459688693603,78.63025101717942,153.81363830634493,141.76228102523874,163.20881221647343,45.606182853282185,145.12090966862164,100.5672324269609,100.56734151567046,178.5887623906335,175.26951608621542,100.56612659443833,100.64221960053312,147.0863658984456,11.401776570702635,166.19498760721876,173.99967905279277,74.76382787481718,167.54297035318243,170.6437699230391,174.13728456333644,96.69199439734741,172.69129126499823,correct
5,151.66662642161404,178.67133256102676,25.865418325960153,151.65326093353315,156.76894447741984,178.62663399429636,20.75737809367245,156.79225361936116,144.7516439635905,160.56589562936756,78.2738549580437,149.696652944105,139.14316404996433,162.20154257282204,56.32084347654761,142.48817156258266,100.88747672744967,100.88783300750563,177.5623392937825,176.84706957259488,100.22393435683124,100.25133297603747,157.73392806961172,1.5511533429047146,161.93056028692402,172.79220427493874,66.53061765786738,163.37615972811372,167.20719701214296,173.5843743025753,94.85163287166345,168.90210029738998,correct
6,147.16057916025306,178.7956867751303,22.6381700406639,147.12343805627205,151.93980290082553,179.75991027600688,15.773626752160236,151.926054710623,138.62381402156922,155.5376131144893,79.67156474016119,144.6658212959291,137.14910461421488,160.216774539125,75.18560287989588,140.78786012610436,101.15868845510978,101.16209364098108,172.77266053744142,91.43339644597708,99.95780857543089,99.95812770144957,177.36266645336823,90.46336320938956,157.15927418661687,171.42940986742022,59.13212170884161,158.71632259286997,163.2813808439221,173.15280979774576,95.11178283988387,164.69990333148286,correct
7,142.322733611299,176.1361469360941,18.243421550886225,142.41241111660406,146.87483985120627,179.30619865889796,12.17798515435737,146.8649720224359,131.77940609926011,149.07184631871252,84.24705310229562,138.79987131953794,134.8195958620441,156.04180548661753,98.23841273285377,139.26279692449944,101.30922663463942,101.32377812852569,165.60064336443173,170.37295616775793,99.98476095993658,100.01023198928952,157.75137789534224,10.813889789293878,151.8519391948582,169.89544460290216,54.02168678587023,153.5169334650248,158.9184266781384,172.8589364422505,97.86402670001544,160.09420682094776,correct
8,137.19608475620535,173.44310143103942,13.262854319390687,137.48835615274575,141.51530659841995,178.3706063306534,9.473801035419282,141.52362127171952,124.63741926087867,140.38617364521278,93.065064392642,132.36175226616436,131.43730362405358,148.3823883282277,115.40702157231686,137.26072954423637,101.29175771004576,101.34028076067473,154.87960903044706,175.97078462421095,100.26004773867909,100.39784474336612,137.82019450740623,8.097344618505385,146.04111570408523,168.13830026049845,52.22552219465327,147.80718422060644,154.0411897493557,172.603098402327,103.31275927399008,155.0156526964484,correct
9,131.77088852309151,170.7911948220673,8.110863115235576,132.2665394890138,135.8583426692809,177.12213826960618,6.732065967629114,135.90258621099184,117.47568267986135,127.61404831729202,104.35960267805625,125.63072471295088,126.3716325761441,135.64730817934495,123.67000243906026,133.9142289380612,101.13909669518131,101.2708755167164,141.8958040441808,98.88277313237374,100.73027395113621,101.0954383089622,126.35594570991744,75.08150415869792,139.81223909361634,166.14232042840993,53.17761266977171,141.6540815534084,148.59320166743112,172.22797260370587,109.93464941481648,149.4189646691229,correct
